"","Latitude","Longitude","Place","As","Cr","Zn"
"3738",34.0185,-117.0136,"San Bernardino",NA,130,110
"1241",36.0784,-118.2954,"Fresno",1,-2,66
"4529",41.25304,-121.94975,"Alturas",3.6,56,72
"743",35.84627,-120.0212,"San Luis Obispo",8.3,152,91
"4085",36.34693,-119.09659,"Fresno",1.5,56,110
"1817",34.8114,-115.608,"Needles",NA,29,64
"3811",34.049,-116.8523,"San Bernardino",NA,96,95
"798",35.18547,-120.14416,"San Luis Obispo",2.4,9,32
"1226",35.8852,-120.8417,"San Luis Obispo",7.6,39,67
"664",35.28663,-119.5958,"Bakersfield",4.6,39,38
"25",34.40965,-118.07701,"Los Angeles",-0.6,58,66
"4799",41.64755,-123.3114,"Weed",1.5,67,70
"764",33.62843,-114.8868,"Salton Sea",5.5,19,48
"2096",34.7066,-114.8295,"Needles",NA,43,79
"4496",39.64404,-120.42956,"Chico",5.4,50,111
"3414",34.1718,-117.1766,"San Bernardino",NA,NA,NA
"1975",34.7843,-114.7416,"Needles",NA,78,67
"535",36.19774,-117.67037,"Death Valley",5.9,43,92
"3906",34.2473,-116.0527,"San Bernardino",NA,48,60
"2198",34.303,-115.7868,"Needles",NA,14,38
"3303",34.3894,-117.4534,"San Bernardino",NA,86,55
"1442",35.2744,-115.1188,"Kingman",NA,150,170
"1369",34.5013,-117.8677,"San Bernardino",3.6,43,85
"3156",34.6621,-116.4066,"San Bernardino",NA,59,110
"337",35.1219,-115.40367,"Kingman",2,46,63
"959",38.0199,-121.2828,"Sacramento",4.9,29,77
"3221",34.5403,-116.2091,"San Bernardino",NA,170,86
"1619",35.4424,-115.9676,"Kingman",NA,61,85
"232",34.86377,-120.34891,"Santa Maria",3.2,76,30
"1071",36.4584,-120.282,"Monterey",10.5,61,99
"4941",38.81699,-123.08385,"Santa Rosa",5.6,72,83
"4342",41.27,-120.2994,"Alturas",NA,39,91
"4587",40.05649,-120.05505,"Susanville",3.3,27,84
"3334",34.3649,-117.3258,"San Bernardino",NA,33,63
"3140",34.7408,-116.326,"San Bernardino",NA,69,61
"2568",34.1723,-114.8305,"Needles",NA,57,78
"4685",40.06635,-122.40887,"Redding",6.1,176,95
"2678",34.7851,-117.7105,"San Bernardino",NA,55,68
"264",32.83602,-115.60216,"El Centro",4.5,9,36
"462",37.05748,-117.4704,"Goldfield",21.3,25,123
"3769",34.14,-117.1701,"San Bernardino",NA,51,99
"1628",35.0077,-114.7086,"Kingman",NA,77,87
"2779",34.9386,-116.8357,"San Bernardino",NA,28,160
"3998",36.94342,-120.65099,"Monterey",16,130,120
"2009",34.7303,-115.9018,"Needles",NA,24,81
"4532",39.11731,-120.45894,"Chico",14.4,16,185
"2280",34.4735,-114.9008,"Needles",NA,49,110
"97",32.56466,-116.79135,"San Diego",7.5,17,77
"1272",36.7922,-119.9331,"Fresno",3.4,10,60
"1668",35.3593,-115.852,"Kingman",NA,41,71
"604",37.80011,-118.85118,"Mariposa",4.6,10,47
"3437",34.4295,-116.8704,"San Bernardino",NA,31,55
"1348",37.4095,-119.6978,"Mariposa",0.8,13,107
"3581",34.006,-117.819,"San Bernardino",NA,86,130
"3593",34.074,-117.8255,"San Bernardino",NA,68,110
"3630",34.1744,-117.511,"San Bernardino",NA,120,140
"1366",35.8608,-118.7865,"Bakersfield",2.7,23,62
"2765",34.7785,-116.9782,"San Bernardino",NA,75,71
"2402",34.139,-115.9715,"Needles",NA,160,72
"344",34.6421,-117.14553,"San Bernardino",19.9,47,104
"3014",34.6537,-117.1325,"San Bernardino",NA,45,77
"1462",35.2176,-115.1795,"Kingman",7.6,25,250
"2063",34.6834,-115.1735,"Needles",NA,45,57
"472",33.48795,-115.11197,"Salton Sea",8.1,115,127
"4705",40.38555,-122.48445,"Redding",9.1,143,91
"2528",34.1617,-115.1694,"Needles",NA,39,58
"1345",37.187,-119.2573,"Mariposa",4.5,33,149
"1223",35.7853,-120.9682,"San Luis Obispo",1.1,-2,15
"2080",34.6251,-115.172,"Needles",NA,2,200
"608",37.67349,-119.82877,"Mariposa",6.5,29,334
"2784",34.9728,-116.8527,"San Bernardino",NA,17,62
"83",32.75341,-116.6467,"San Diego",1.8,61,101
"4165",37.94132,-120.76,"San Jose",3.7,74,140
"2467",34.0828,-115.6437,"Needles",NA,44,60
"4325",41.9469,-120.1841,"Alturas",NA,26,140
"3858",34.1476,-116.6776,"San Bernardino",NA,36,88
"1097",38.8795,-121.7351,"Sacramento",8.8,109,100
"312",34.55797,-116.69092,"San Bernardino",2.8,31,73
"1559",35.6432,-115.9363,"Kingman",NA,26,59
"1092",36.0543,-121.3961,"Monterey",1.5,70,94
"2088",34.5653,-115.1173,"Needles",NA,39,62
"4308",41.5463,-120.1872,"Alturas",NA,120,71
"2854",34.8251,-116.2597,"San Bernardino",NA,67,82
"2021",34.6787,-115.977,"Needles",NA,62,97
"1938",34.9344,-114.8674,"Needles",NA,70,83
"2620",34.1752,-114.4122,"Needles",NA,61,84
"2478",34.0533,-115.312,"Needles",NA,22,54
"67",32.88158,-116.92802,"San Diego",3.5,43,90
"373",36.73366,-118.37926,"Fresno",2.8,11,69
"1812",34.8989,-115.6417,"Needles",NA,44,65
"130",34.04135,-118.59624,"Los Angeles",7.5,74,54
"3196",34.7365,-116.0251,"San Bernardino",NA,64,62
"662",35.84333,-118.30536,"Bakersfield",1.4,29,76
"896",35.6345,-116.611,"Trona",6.6,22,71
"4206",35.6569,-119.2479,"Bakersfield",NA,43,61
"3760",34.1062,-117.1732,"San Bernardino",NA,23,130
"899",35.5683,-116.3303,"Trona",2.1,111,75
"3549",34.468,-116.2112,"San Bernardino",NA,130,81
"4593",40.46177,-121.04459,"Susanville",6.5,194,126
"2730",34.7845,-117.0549,"San Bernardino",NA,59,220
"724",35.77367,-121.32351,"San Luis Obispo",6.9,141,72
"1284",35.2443,-120.6045,"San Luis Obispo",5,55,54
"2437",34.1734,-115.6845,"Needles",NA,34,55
"2585",34.0741,-114.6112,"Needles",NA,37,51
"2852",34.8766,-116.2873,"San Bernardino",NA,51,81
"4515",41.46835,-121.47738,"Alturas",3.4,69,98
"3746",34.0184,-117.1749,"San Bernardino",NA,88,85
"4482",39.38575,-120.1517,"Chico",10.6,17,60
"3619",34.1836,-117.8782,"San Bernardino",NA,72,120
"283",35.30075,-115.30875,"Kingman",2.1,15,67
"583",37.12661,-119.43263,"Mariposa",0.9,6,47
"1557",35.612,-115.9798,"Kingman",NA,44,59
"3324",34.2676,-117.2576,"San Bernardino",NA,34,72
"2320",34.4893,-114.566,"Needles",NA,110,85
"2367",34.2992,-114.2607,"Needles",4.8,50,69
"3829",34.1485,-116.7086,"San Bernardino",NA,23,80
"401",36.51814,-116.71944,"Death Valley",7.2,25,54
"3658",34.0446,-117.7435,"San Bernardino",NA,68,160
"4993",41.87321,-124.02862,"Eureka",1.5,506,39
"1418",35.219,-114.9795,"Kingman",NA,68,94
"2632",34.9116,-117.9733,"San Bernardino",NA,29,84
"3928",36.52265,-119.89035,"Fresno",3,23,55
"1189",35.6495,-121.2081,"San Luis Obispo",3.1,2370,69
"1969",34.816,-114.6771,"Needles",NA,100,77
"1008",38.0881,-120.3196,"Sacramento",4.4,63,45
"742",34.96425,-115.31337,"Needles",2.1,37,88
"3081",34.5893,-116.7863,"San Bernardino",NA,43,85
"1085",38.8922,-120.2727,"Sacramento",1.9,14,58
"5026",40.60028,-123.57335,"Redding",12.6,199,152
"2075",34.6473,-115.1328,"Needles",NA,38,64
"3126",34.6821,-116.5142,"San Bernardino",NA,10,58
"3809",34.1142,-116.8301,"San Bernardino",NA,33,88
"1275",36.6733,-119.7267,"Fresno",2.6,10,84
"1149",36.2869,-121.4567,"Monterey",19.3,77,194
"3105",34.6531,-116.7145,"San Bernardino",NA,59,76
"1856",34.9382,-115.8822,"Needles",NA,23,42
"2061",34.6994,-115.3988,"Needles",NA,43,45
"3644",34.2164,-117.5715,"San Bernardino",NA,28,88
"4338",41.9236,-120.0986,"Alturas",NA,50,84
"1807",34.9882,-115.6422,"Needles",NA,30,41
"1378",34.8458,-116.8231,"San Bernardino",9.4,31,89
"509",36.0724,-118.47675,"Fresno",3.3,37,88
"4032",36.2114,-119.88378,"Fresno",7.7,140,85
"2586",34.1801,-114.5146,"Needles",NA,55,46
"2420",34.0671,-115.7235,"Needles",NA,5,220
"4855",38.02651,-122.18451,"Santa Rosa",13.7,100,109
"362",36.3477,-117.64476,"Death Valley",6.2,38,62
"4801",41.75593,-122.6819,"Weed",34.9,105,128
"1340",37.1845,-118.0723,"Mariposa",6.6,35,96
"1510",35.4326,-115.7838,"Kingman",NA,53,47
"4967",39.22724,-123.4636,"Ukiah",7.1,80,130
"4613",39.95286,-120.54027,"Chico",5.5,90,142
"2999",34.6608,-117.0592,"San Bernardino",NA,59,74
"2667",34.8815,-117.5981,"San Bernardino",NA,46,56
"935",35.526,-117.3641,"Trona",14.1,21,64
"313",34.91977,-116.48461,"San Bernardino",2.1,18,37
"1327",37.4579,-119.1341,"Mariposa",4.4,99,102
"3503",34.401,-116.6024,"San Bernardino",NA,83,59
"2150",34.6483,-114.677,"Needles",NA,40,88
"677",35.78205,-120.88051,"San Luis Obispo",5.4,67,66
"2923",34.5059,-117.988,"San Bernardino",NA,17,47
"1989",34.9189,-114.676,"Needles",NA,48,74
"4634",40.74693,-121.272,"Susanville",1.6,140,98
"2272",34.4336,-114.8385,"Needles",NA,57,95
"3850",34.0467,-116.6582,"San Bernardino",NA,83,100
"1777",35.7644,-115.8761,"Kingman",NA,27,97
"3577",34.2954,-116.0508,"San Bernardino",NA,26,28
"426",36.71682,-116.8676,"Death Valley",19.2,51,61
"4781",41.55872,-122.25576,"Weed",1.9,62,87
"2033",34.7449,-115.6544,"Needles",NA,28,54
"5036",40.74602,-123.48588,"Redding",3.6,61,144
"2758",34.9711,-116.9,"San Bernardino",NA,15,500
"508",35.40885,-116.58356,"Trona",4.2,24,87
"3832",34.2366,-116.7476,"San Bernardino",NA,74,79
"4900",38.65579,-122.80919,"Santa Rosa",3.6,85,65
"2736",34.9466,-117.133,"San Bernardino",NA,8,340
"4999",40.13247,-123.41532,"Redding",4.2,35,89
"1771",35.8467,-115.9048,"Kingman",NA,42,42
"4419",41.93397,-120.75599,"Alturas",2.1,18,35
"3776",34.2392,-116.788,"San Bernardino",NA,37,93
"4256",41.1744,-120.2061,"Alturas",NA,75,130
"3239",34.4743,-117.7865,"San Bernardino",NA,65,73
"2588",34.1027,-114.6552,"Needles",NA,42,56
"143",33.81349,-116.52653,"Santa Ana",1.2,39,101
"4137",37.67044,-121.09415,"San Jose",5.2,47,79
"4722",39.61015,-121.89287,"Chico",6.1,126,78
"2236",34.4018,-115.2536,"Needles",NA,27,44
"1019",38.433,-119.748,"Walker Lake",5,171,104
"370",35.18329,-116.38678,"Trona",5.8,14,40
"1018",36.1967,-121.5985,"Monterey",2.1,51,115
"771",34.11811,-115.08429,"Needles",2.4,14,41
"2149",34.6485,-114.7072,"Needles",NA,38,87
"1908",34.9864,-115.4922,"Needles",NA,26,44
"3039",34.5623,-117.2201,"San Bernardino",NA,40,63
"2126",34.7077,-114.6117,"Needles",NA,120,100
"2788",34.9729,-116.7581,"San Bernardino",NA,40,75
"3863",34.059,-116.5997,"San Bernardino",NA,90,110
"2762",34.8168,-116.9042,"San Bernardino",NA,65,84
"2105",34.5458,-114.8863,"Needles",NA,36,64
"4795",41.89531,-123.04763,"Weed",5.5,90,64
"3063",34.6217,-116.8789,"San Bernardino",NA,110,83
"1857",34.9042,-115.9281,"Needles",NA,24,42
"301",33.02089,-114.58458,"Salton Sea",13.2,39,85
"2769",34.7564,-116.8904,"San Bernardino",NA,44,38
"939",35.6239,-117.4432,"Trona",17.4,31,71
"876",35.5723,-119.8492,"Bakersfield",9.2,43,59
"1142",36.4884,-120.1927,"Monterey",10.8,80,98
"81",33.78405,-117.47804,"Santa Ana",14.6,27,74
"3921",37.60588,-120.61154,"San Jose",1.4,28,50
"5080",41.28439,-123.56875,"Weed",7.6,312,94
"2445",34.1714,-115.5611,"Needles",NA,45,53
"4386",39.39165,-121.41119,"Chico",7.1,31,43
"2577",34.0448,-114.5159,"Needles",NA,53,63
"349",34.70817,-114.51595,"Needles",4.7,71,84
"1504",35.2688,-115.8181,"Kingman",NA,45,74
"2066",34.7179,-115.1024,"Needles",NA,18,45
"5039",40.8098,-123.11948,"Redding",16.7,157,184
"173",37.61387,-122.41453,"San Francisco",3.2,225,49
"595",37.44104,-118.1535,"Mariposa",5.5,23,42
"5033",40.84908,-123.92892,"Redding",3.7,135,61
"340",34.49047,-117.28284,"San Bernardino",2.1,43,67
"4373",39.31704,-122.72494,"Ukiah",11.5,151,133
"3339",34.3155,-117.2693,"San Bernardino",NA,11,64
"1491",35.416,-115.936,"Kingman",NA,66,120
"5119",41.75914,-123.74949,"Weed",2.1,2050,137
"4485",39.11005,-120.1929,"Chico",3,47,136
"4600",40.89266,-121.24536,"Susanville",2.7,70,79
"3879",34.208,-116.2889,"San Bernardino",NA,51,70
"5109",41.53394,-123.84936,"Weed",10.4,140,88
"1779",35.7722,-115.845,"Kingman",NA,33,52
"4044",35.73337,-119.25629,"Bakersfield",4.4,40,60
"507",34.10747,-117.12082,"San Bernardino",-0.6,35,134
"629",36.69363,-119.16178,"Fresno",3.5,32,79
"4354",41.8522,-120.048,"Alturas",NA,48,71
"3533",34.3349,-116.4055,"San Bernardino",NA,54,72
"191",37.54529,-121.91792,"San Jose",8.1,65,69
"3948",35.92639,-119.17247,"Bakersfield",4.4,52,90
"3685",34.0505,-117.2872,"San Bernardino",NA,50,73
"1563",35.6186,-115.813,"Kingman",NA,34,62
"1729",35.0909,-115.79,"Kingman",NA,23,54
"648",36.08182,-121.04502,"Monterey",13,67,100
"3076",34.6822,-116.7596,"San Bernardino",NA,49,59
"4817",41.59216,-122.54381,"Weed",4.2,61,82
"63",32.64387,-117.05485,"San Diego",2.2,25,38
"251",37.23597,-121.26809,"San Jose",9.4,124,79
"1509",35.4751,-115.7953,"Kingman",NA,49,60
"4513",41.40124,-121.60908,"Alturas",4.5,94,105
"3629",34.1427,-117.5143,"San Bernardino",1.4,120,190
"4901",38.74138,-122.51371,"Santa Rosa",8.5,343,105
"4153",36.31251,-120.02851,"Monterey",9.9,140,72
"1095",36.4881,-121.2223,"Monterey",41.5,26,109
"4787",42.00511,-122.18672,"Medford",2.3,141,89
"1592",35.6203,-115.4762,"Kingman",NA,29,37
"2813",34.7675,-116.7112,"San Bernardino",NA,42,51
"3263",34.4035,-117.5588,"San Bernardino",NA,60,73
"2681",34.7845,-117.6638,"San Bernardino",NA,26,64
"646",36.628,-121.42576,"Monterey",3.5,47,102
"5014",40.40168,-123.74576,"Redding",5.5,193,102
"901",35.3449,-117.8064,"Trona",23.1,32,69
"3048",34.683,-116.9056,"San Bernardino",NA,77,71
"3262",34.4035,-117.6031,"San Bernardino",NA,79,76
"3357",34.4923,-117.2194,"San Bernardino",NA,33,48
"3463",34.291,-116.5846,"San Bernardino",NA,67,78
"4218",37.90205,-121.37436,"San Jose",9,83,71
"347",34.89522,-117.43865,"San Bernardino",4.7,28,43
"3386",34.3797,-117.0102,"San Bernardino",NA,53,140
"885",35.2931,-119.128,"Bakersfield",10.3,26,85
"2814",34.7675,-116.7112,"San Bernardino",NA,52,68
"1206",35.0441,-120.3027,"San Luis Obispo",4.4,36,49
"532",35.9045,-117.59463,"Trona",2.5,18,73
"4294",41.598,-120.0388,"Alturas",NA,32,80
"3676",34.1607,-117.7015,"San Bernardino",NA,76,110
"1150",38.7019,-120.455,"Sacramento",2.8,73,109
"2671",34.9192,-117.5203,"San Bernardino",NA,34,60
"1244",36.2679,-119.2248,"Fresno",6.4,43,107
"3428",34.3706,-116.7956,"San Bernardino",NA,55,110
"2616",34.0943,-114.4542,"Needles",NA,76,64
"3013",34.6268,-117.1306,"San Bernardino",NA,62,87
"3922",37.91099,-120.78532,"San Jose",2,67,73
"638",35.39511,-119.94041,"Bakersfield",10.5,81,96
"1175",38.5154,-121.8345,"Sacramento",9,104,71
"4400",41.33658,-120.03362,"Alturas",6.4,53,95
"4407",41.89086,-120.26924,"Alturas",3.3,7,76
"692",35.98704,-118.33544,"Bakersfield",0.7,22,110
"1287",36.6177,-119.2031,"Fresno",3.6,26,86
"707",36.26189,-121.77605,"Monterey",3,95,158
"968",33.8403,-114.5955,"Salton Sea",5,12,56
"1916",34.8251,-115.0621,"Needles",NA,38,110
"828",35.8747,-118.4255,"Bakersfield",13.9,15,98
"4068",36.27464,-119.23546,"Fresno",4.2,45,110
"2823",34.7503,-116.334,"San Bernardino",NA,62,57
"2834",34.8825,-116.4853,"San Bernardino",NA,41,43
"151",34.93097,-118.60677,"Los Angeles",4.6,26,151
"379",36.21886,-117.93005,"Death Valley",12.4,10,31
"3926",37.40543,-120.80368,"San Jose",2.3,11,68
"3538",34.2613,-116.448,"San Bernardino",NA,65,140
"4546",40.79454,-120.02938,"Susanville",1.8,84,79
"3480",34.3466,-116.6343,"San Bernardino",NA,70,81
"4174",35.75341,-119.19627,"Bakersfield",6.1,51,99
"4242",37.4622,-120.44037,"San Jose",2.7,NA,NA
"1067",38.1326,-119.0441,"Walker Lake",4.4,-2,55
"1136",36.1382,-120.1023,"Monterey",9.8,67,82
"880",35.1455,-119.7226,"Bakersfield",5.9,37,71
"1776",35.7646,-115.9015,"Kingman",NA,50,110
"4374",39.35107,-122.49187,"Ukiah",10.8,23,64
"1390",35.4818,-115.8371,"Kingman",NA,70,62
"3041",34.5194,-117.218,"San Bernardino",NA,60,100
"5157",39.95419,-123.28484,"Ukiah",6.9,158,98
"855",35.0008,-118.8457,"Bakersfield",3.5,47,148
"2654",34.9758,-117.6672,"San Bernardino",NA,21,36
"1093",36.9625,-121.8079,"Monterey",7.7,97,91
"578",35.22261,-118.47013,"Bakersfield",NA,NA,NA
"4840",40.9534,-122.7151,"Redding",6,176,171
"3934",35.68693,-119.69113,"Bakersfield",4.7,58,53
"4975",39.22486,-121.7854,"Chico",12.3,183,73
"3261",34.4329,-117.5318,"San Bernardino",NA,56,76
"3411",34.3388,-116.9126,"San Bernardino",NA,16,27
"3788",34.1493,-116.8337,"San Bernardino",NA,27,120
"1058",36.9833,-121.5101,"Monterey",3.8,151,105
"4950",39.00689,-123.68821,"Ukiah",7.7,73,85
"4774",41.83171,-121.99151,"Alturas",1.4,48,81
"3657",34.0738,-117.7104,"San Bernardino",NA,63,270
"2803",34.8395,-116.5286,"San Bernardino",NA,7,33
"2139",34.6722,-114.7045,"Needles",NA,14,91
"2724",34.9358,-117.0634,"San Bernardino",NA,53,88
"4789",41.96472,-122.25115,"Weed",5.6,76,82
"1585",35.5825,-115.6403,"Kingman",NA,31,61
"291",33.08525,-114.91894,"Salton Sea",13.6,19,45
"285",34.96781,-117.18869,"San Bernardino",5.5,26,45
"497",35.02931,-117.38547,"Trona",8.9,26,57
"3102",34.6607,-116.5956,"San Bernardino",NA,48,81
"1382",35.112,-114.9964,"Kingman",5.6,31,57
"4618",40.05438,-121.01733,"Susanville",52.5,77,250
"4159",36.19508,-119.4738,"Fresno",3.9,40,74
"3034",34.5275,-117.1322,"San Bernardino",NA,47,62
"4454",41.79831,-121.17649,"Alturas",3.4,105,99
"2477",34.0705,-115.3108,"Needles",NA,23,57
"625",37.00624,-119.21828,"Mariposa",1.1,27,112
"4675",40.90216,-121.02271,"Susanville",6.3,313,152
"3847",34.0817,-116.5868,"San Bernardino",NA,150,110
"3607",34.0223,-117.9397,"San Bernardino",NA,39,84
"3315",34.439,-117.2575,"San Bernardino",NA,49,76
"3356",34.4944,-117.1722,"San Bernardino",NA,52,87
"89",33.23421,-116.32798,"Santa Ana",3.8,31,106
"3335",34.366,-117.294,"San Bernardino",NA,27,45
"2026",34.5604,-115.6785,"Needles",NA,48,70
"4215",36.29886,-119.6911,"Fresno",5.8,75,79
"4270",41.083,-120.2455,"Alturas",NA,100,110
"1815",34.7798,-115.6316,"Needles",NA,25,61
"211",37.26679,-122.33455,"San Francisco",3.6,17,36
"1600",35.0725,-114.7517,"Kingman",NA,87,130
"1608",35.2098,-115.0258,"Kingman",NA,61,81
"95",34.81531,-118.78591,"Los Angeles",98.4,58,203
"3561",34.4444,-116.108,"San Bernardino",NA,51,61
"4762",39.62505,-122.16058,"Ukiah",7.1,173,100
"3359",34.2739,-117.0548,"San Bernardino",NA,9,76
"493",37.01275,-118.93316,"Mariposa",1.9,10,55
"3145",34.7189,-116.296,"San Bernardino",NA,58,76
"274",32.98416,-115.19943,"El Centro",3.3,5,26
"718",36.38946,-121.86925,"Monterey",1.3,56,150
"5083",41.18306,-123.36527,"Weed",10.4,83,145
"402",35.18035,-117.03798,"Trona",3.9,14,53
"682",36.38922,-121.04758,"Monterey",2.4,55,71
"2485",34.0923,-115.4884,"Needles",NA,34,78
"5005",40.21339,-123.78733,"Redding",7,97,80
"4071",35.5296,-119.79668,"Bakersfield",14,90,75
"4853",38.19981,-122.07997,"Santa Rosa",16.6,131,93
"5145",39.26932,-122.27384,"Ukiah",10,80,74
"4564",40.61889,-120.62613,"Susanville",3.2,142,146
"2025",34.5882,-115.5573,"Needles",NA,39,39
"29",34.84903,-118.37009,"Los Angeles",12,64,79
"4164",35.1793,-119.35607,"Bakersfield",11,41,45
"4768",39.80283,-122.28607,"Ukiah",5.5,117,62
"2751",34.7808,-117.1712,"San Bernardino",NA,81,77
"131",33.35516,-116.74213,"Santa Ana",1.3,35,133
"1955",34.8867,-114.9169,"Needles",NA,70,81
"619",37.57499,-119.16424,"Mariposa",4,30,76
"109",33.18245,-117.25096,"Santa Ana",4.9,78,97
"3222",34.557,-116.1824,"San Bernardino",7.4,140,93
"183",34.28644,-119.32084,"Los Angeles",5.9,17,42
"932",35.5929,-117.6854,"Trona",3.5,38,67
"4029",35.5248,-119.21785,"Bakersfield",3.9,46,63
"4462",41.90808,-121.64474,"Alturas",3.7,44,58
"4405",40.97809,-120.11334,"Susanville",4.2,18,59
"3512",34.4372,-116.328,"San Bernardino",NA,22,31
"1461",35.2151,-115.1905,"Kingman",NA,25,93
"4744",39.08165,-122.47473,"Ukiah",13.3,89,97
"3710",34.1123,-117.4787,"San Bernardino",NA,66,130
"2845",34.9077,-116.3281,"San Bernardino",NA,13,43
"39",32.75738,-116.98465,"San Diego",4.2,45,127
"463",34.33408,-117.07543,"San Bernardino",0.8,33,34
"5000",40.13247,-123.41532,"Redding",3.7,61,93
"2651",34.9171,-117.6408,"San Bernardino",NA,11,19
"1438",35.2919,-115.0865,"Kingman",NA,62,84
"3563",34.4398,-116.1321,"San Bernardino",NA,89,71
"1219",36.1092,-119.3929,"Fresno",4.1,44,101
"502",35.665,-118.8446,"Bakersfield",3.3,43,73
"2473",34.0916,-115.4009,"Needles",NA,21,51
"3841",34.1148,-116.5403,"San Bernardino",NA,51,100
"1220",36.0493,-119.7316,"Fresno",6.2,63,97
"4776",41.78347,-122.10597,"Weed",1.2,97,115
"2334",34.2867,-114.6243,"Needles",4.5,64,95
"890",35.8765,-116.4803,"Trona",11.2,18,92
"3426",34.2715,-116.7898,"San Bernardino",NA,55,76
"1005",33.0898,-115.4379,"Salton Sea",4.7,14,46
"4650",40.22899,-121.79738,"Susanville",5.1,171,102
"4540",39.59491,-121.08775,"Chico",1.1,2510,76
"1232",35.798,-120.2869,"San Luis Obispo",1.6,210,82
"688",35.54024,-121.02435,"San Luis Obispo",4.9,235,53
